program,impl,N,workers,unit,run_idx,time_s
fft_serial,C/serial,1048576,1,threads,1,0.058
fft_serial,C/serial,1048576,1,threads,2,0.050
fft_serial,C/serial,1048576,1,threads,3,0.045
fft_pthreads,C/pthreads,1048576,1,threads,1,0.044
fft_pthreads,C/pthreads,1048576,1,threads,2,0.044
fft_pthreads,C/pthreads,1048576,1,threads,3,0.045
fft_pthreads,C/pthreads,1048576,2,threads,1,0.041
fft_pthreads,C/pthreads,1048576,2,threads,2,0.040
fft_pthreads,C/pthreads,1048576,2,threads,3,0.041
fft_pthreads,C/pthreads,1048576,4,threads,1,0.040
fft_pthreads,C/pthreads,1048576,4,threads,2,0.041
fft_pthreads,C/pthreads,1048576,4,threads,3,0.041
fft_pthreads,C/pthreads,1048576,8,threads,1,0.043
fft_pthreads,C/pthreads,1048576,8,threads,2,0.049
fft_pthreads,C/pthreads,1048576,8,threads,3,0.043
fft_pthreads,C/pthreads,1048576,16,threads,1,0.047
fft_pthreads,C/pthreads,1048576,16,threads,2,0.043
fft_pthreads,C/pthreads,1048576,16,threads,3,0.043
fft_openmp,C/OpenMP,1048576,1,threads,1,0.051
fft_openmp,C/OpenMP,1048576,1,threads,2,0.049
fft_openmp,C/OpenMP,1048576,1,threads,3,0.052
fft_openmp,C/OpenMP,1048576,2,threads,1,0.036
fft_openmp,C/OpenMP,1048576,2,threads,2,0.036
fft_openmp,C/OpenMP,1048576,2,threads,3,0.037
fft_openmp,C/OpenMP,1048576,4,threads,1,0.030
fft_openmp,C/OpenMP,1048576,4,threads,2,0.032
fft_openmp,C/OpenMP,1048576,4,threads,3,0.032
fft_openmp,C/OpenMP,1048576,8,threads,1,0.028
fft_openmp,C/OpenMP,1048576,8,threads,2,0.067
fft_openmp,C/OpenMP,1048576,8,threads,3,0.029
fft_openmp,C/OpenMP,1048576,16,threads,1,0.028
fft_openmp,C/OpenMP,1048576,16,threads,2,0.028
fft_openmp,C/OpenMP,1048576,16,threads,3,0.029
fft_mpi,C/MPI,1048576,1,processes,1,0.197
fft_mpi,C/MPI,1048576,1,processes,2,0.176
fft_mpi,C/MPI,1048576,1,processes,3,0.176
fft_mpi,C/MPI,1048576,2,processes,1,0.176
fft_mpi,C/MPI,1048576,2,processes,2,0.187
fft_mpi,C/MPI,1048576,2,processes,3,0.164
fft_mpi,C/MPI,1048576,4,processes,1,0.166
fft_mpi,C/MPI,1048576,4,processes,2,0.184
fft_mpi,C/MPI,1048576,4,processes,3,0.177
fft_mpi,C/MPI,1048576,8,processes,1,0.264
fft_mpi,C/MPI,1048576,8,processes,2,0.262
fft_mpi,C/MPI,1048576,8,processes,3,0.263
